Epoch 1 | Batch 0/94 | Loss: 1.0971 | Acc: 32.81%
Epoch 1 | Batch 50/94 | Loss: 0.5076 | Acc: 75.90%
Epoch 2 | Batch 0/94 | Loss: 0.4445 | Acc: 83.59%
Epoch 2 | Batch 50/94 | Loss: 0.2897 | Acc: 86.01%
Epoch 3 | Batch 0/94 | Loss: 1.0967 | Acc: 90.62%
Epoch 3 | Batch 50/94 | Loss: 1.0398 | Acc: 83.38%
Epoch 4 | Batch 0/94 | Loss: 0.5239 | Acc: 85.16%
Epoch 4 | Batch 50/94 | Loss: 0.2318 | Acc: 86.87%
Epoch 5 | Batch 0/94 | Loss: 0.2462 | Acc: 90.62%
Epoch 5 | Batch 50/94 | Loss: 0.2457 | Acc: 90.13%
Epoch 6 | Batch 0/94 | Loss: 0.2590 | Acc: 85.94%
Epoch 6 | Batch 50/94 | Loss: 0.2112 | Acc: 90.32%
Epoch 7 | Batch 0/94 | Loss: 0.1722 | Acc: 90.62%
Epoch 7 | Batch 50/94 | Loss: 0.1298 | Acc: 91.76%
Epoch 8 | Batch 0/94 | Loss: 0.1316 | Acc: 92.97%
Epoch 8 | Batch 50/94 | Loss: 0.1268 | Acc: 92.16%
Epoch 9 | Batch 0/94 | Loss: 0.1377 | Acc: 93.75%
Epoch 9 | Batch 50/94 | Loss: 0.1321 | Acc: 94.30%
Epoch 10 | Batch 0/94 | Loss: 0.1088 | Acc: 94.53%
Epoch 10 | Batch 50/94 | Loss: 0.1262 | Acc: 95.24%
Epoch 11 | Batch 0/94 | Loss: 0.1112 | Acc: 95.31%
